movie,scene_number,scene_name,type,character,text
Life of Brian,1,The Relationship of Men and Sheep,direction,NULL,holy music
Life of Brian,1,The Relationship of Men and Sheep,dialogue,MORRIS,I love sheep.
Life of Brian,1,The Relationship of Men and Sheep,dialogue,SHEPHERD #2,So do I. Terrific animals. Terrific.
Life of Brian,1,The Relationship of Men and Sheep,dialogue,MORRIS,No trouble.
Life of Brian,1,The Relationship of Men and Sheep,dialogue,SHEPHERD #2,"No, no trouble."
Life of Brian,1,The Relationship of Men and Sheep,dialogue,SHEPHERD #1,"Except at shearing. They can play up a bit, then;
        can't they?"
Life of Brian,1,The Relationship of Men and Sheep,dialogue,MORRIS,"Oh, yeah, but I like that sort of little burst of
        frenzy they have then, you know. I like it when they get a little bit
        angry. Shows they're human."
Life of Brian,1,The Relationship of Men and Sheep,dialogue,SHEPHERD #1,"Oh, yeah. I-- I-- I'm not saying I dislike them
        at shearing, you know, but they can be a bit of a handful; can't they?"
Life of Brian,1,The Relationship of Men and Sheep,dialogue,MORRIS,"Well, so would you be if you had a great pair of
        scissors snippin' away while someone held your back legs apart."
Life of Brian,1,The Relationship of Men and Sheep,dialogue,SHEPHERD #1,Hm.
Life of Brian,1,The Relationship of Men and Sheep,dialogue,MORRIS,"You'd wiggle a bit. You'd kick up a bit of a fuss.
        Heh."
Life of Brian,1,The Relationship of Men and Sheep,dialogue,SHEPHERD #1,"Yeah, I-- I'm not saying I just expect them to
        stand around in the fields and nibble the grass and look a bit pretty.
        I-- I'm not saying that."
Life of Brian,1,The Relationship of Men and Sheep,dialogue,SHEPHERD #2,"Oh, but they are pretty; aren't they?"
Life of Brian,1,The Relationship of Men and Sheep,dialogue,MORRIS,Yeah.
Life of Brian,1,The Relationship of Men and Sheep,dialogue,SHEPHERD #1,"Oh, yeah."
Life of Brian,1,The Relationship of Men and Sheep,dialogue,SHEPHERD #2,"I mean, look at that one over there against the
        sky. The white of the coat, the little black face against the twinkling
        stars beyond."
Life of Brian,1,The Relationship of Men and Sheep,dialogue,MORRIS,Yes. Aww. Terrific.
Life of Brian,1,The Relationship of Men and Sheep,dialogue,SHEPHERD #1,Mhm.
Life of Brian,1,The Relationship of Men and Sheep,dialogue,MORRIS,Terrific animals.
Life of Brian,1,The Relationship of Men and Sheep,dialogue,SHEPHERD #1,Mm.
